iter	RMSE
0	14.75884784
1	14.41045363
2	14.04337204
3	13.69729584
4	13.36289653
5	13.04786659
6	12.74881515
7	12.48303334
8	12.21591342
9	11.9191378
10	11.63164119
11	11.38686819
12	11.16878007
13	10.96256836
14	10.72158137
15	10.47763578
16	10.24833949
17	10.05178524
18	9.84431198
19	9.662757672
20	9.49555882
21	9.335640553
22	9.145362808
23	8.982749931
24	8.831822124
25	8.683503846
26	8.534132547
27	8.398373039
28	8.265993605
29	8.139960479
30	8.028011275
31	7.914555259
32	7.808708461
33	7.695571815
34	7.582464623
35	7.484832345
36	7.388587545
37	7.295985196
38	7.200822332
39	7.11316205
40	7.03897024
41	6.980120815
42	6.901168169
43	6.844192094
44	6.782666939
45	6.711985981
46	6.647142132
47	6.590893338
48	6.531669245
49	6.473558208
50	6.42470153
51	6.379437385
52	6.33368884
53	6.285961502
54	6.238528591
55	6.200708833
56	6.162694142
57	6.12777119
58	6.093686813
59	6.061524467
60	6.025925844
61	5.992428397
62	5.956963929
63	5.921513919
64	5.892698189
65	5.864157663
66	5.834362589
67	5.803517197
68	5.780712954
69	5.75756913
70	5.734544912
71	5.709635462
72	5.687437847
73	5.666414144
74	5.647425655
75	5.628158567
76	5.611969293
77	5.595222852
78	5.578926517
79	5.559016799
80	5.548177447
81	5.531566157
82	5.517669829
83	5.508431131
84	5.496036282
85	5.478605084
86	5.468408818
87	5.45540758
88	5.441701492
89	5.429661087
90	5.417664654
91	5.407371524
92	5.39652298
93	5.387279903
94	5.373784901
95	5.362791313
96	5.349459167
97	5.3391784
98	5.330437793
99	5.314892357
100	5.307975159
101	5.298475184
102	5.29106389
103	5.279991523
104	5.272493911
105	5.264189126
106	5.255620532
107	5.247148123
108	5.239116791
109	5.230830235
110	5.221931508
111	5.213540185
112	5.207597531
113	5.200318657
114	5.195974174
115	5.18846366
116	5.185165759
117	5.1741736
118	5.168983908
119	5.161275593
120	5.157434844
121	5.155091196
122	5.152527889
123	5.145073683
124	5.143020355
125	5.138253925
126	5.129665284
127	5.122661519
128	5.11599491
129	5.114790258
130	5.10730678
131	5.098830095
132	5.093513011
133	5.087046609
134	5.079019349
135	5.07400986
136	5.069924994
137	5.064065947
138	5.060248903
139	5.055573858
140	5.054796059
141	5.049415824
142	5.045226737
