iter	Passed	Remaining
0	1	196
1	3	187
2	5	182
3	7	176
4	9	174
5	10	171
6	12	169
7	14	167
8	16	164
9	18	163
10	19	161
11	21	159
12	23	157
13	25	156
14	27	154
15	28	152
16	30	150
17	32	148
18	34	146
19	36	144
20	37	142
21	39	140
22	41	138
23	43	136
24	44	134
25	46	132
26	48	131
27	50	129
28	51	127
29	53	125
30	55	123
31	57	121
32	59	120
33	61	118
34	63	117
35	65	115
36	66	113
37	68	111
38	70	109
39	71	107
40	73	106
41	75	104
42	77	102
43	78	99
44	80	98
45	82	96
46	83	94
47	85	92
48	87	90
49	88	88
50	90	87
51	92	85
52	94	83
53	96	81
54	97	80
55	99	78
56	101	76
57	103	74
58	105	73
59	107	71
60	108	69
61	110	67
62	112	65
63	114	64
64	115	62
65	117	60
66	119	58
67	121	56
68	122	55
69	124	53
70	126	51
71	127	49
72	129	47
73	131	46
74	133	44
75	134	42
76	136	40
77	138	38
78	140	37
79	141	35
80	143	33
81	145	31
82	147	30
83	149	28
84	151	26
85	153	24
86	155	23
87	157	21
88	159	19
89	161	17
90	164	16
91	166	14
92	168	12
93	170	10
94	171	9
95	173	7
96	175	5
97	177	3
98	179	1
99	181	0
