iter	Passed	Remaining
0	151	151373
1	153	76463
2	154	51433
3	155	38838
4	157	31276
5	158	26278
6	160	22698
7	161	20010
8	162	17924
9	164	16240
10	165	14883
11	167	13762
12	168	12797
13	170	11976
14	171	11256
15	172	10632
16	174	10075
17	175	9588
18	177	9140
19	178	8738
20	180	8422
21	182	8102
22	183	7804
23	185	7525
24	186	7273
25	188	7045
26	189	6832
27	191	6632
28	192	6443
29	194	6279
30	196	6128
31	197	5976
32	199	5843
33	201	5711
34	202	5587
35	204	5464
36	205	5349
37	207	5240
38	208	5142
39	210	5063
40	212	4972
41	214	4884
42	215	4801
43	217	4722
44	219	4650
45	220	4578
46	222	4509
47	224	4457
48	227	4406
49	228	4344
50	230	4283
51	231	4222
52	233	4166
53	234	4112
54	236	4054
55	237	4006
56	239	3963
57	241	3926
58	243	3879
59	244	3831
60	246	3790
61	247	3750
62	249	3707
63	250	3665
64	252	3625
65	253	3594
66	256	3575
67	258	3540
68	259	3503
69	261	3467
70	262	3437
71	264	3407
72	265	3372
73	267	3343
74	269	3320
75	272	3307
76	273	3283
77	275	3253
78	276	3225
79	278	3201
80	279	3174
81	281	3147
82	282	3120
83	284	3100
84	286	3082
85	287	3058
86	289	3036
87	291	3019
88	292	2996
89	294	2974
90	295	2955
91	298	2941
92	300	2930
93	302	2910
94	303	2890
95	304	2872
96	306	2855
97	308	2839
98	310	2821
99	312	2810
100	314	2801
101	316	2788
102	318	2771
103	319	2753
104	321	2738
105	322	2721
106	323	2703
107	326	2695
108	328	2684
109	330	2671
110	331	2655
111	332	2639
112	334	2624
113	335	2610
114	337	2596
115	338	2580
116	339	2562
117	341	2553
118	344	2550
119	345	2537
120	347	2523
121	348	2508
122	350	2498
123	352	2486
124	353	2473
125	355	2462
126	356	2453
127	359	2449
128	361	2442
129	363	2430
130	365	2422
131	367	2413
132	368	2401
133	370	2392
134	372	2384
135	374	2381
136	376	2370
137	377	2360
138	379	2351
139	381	2342
140	382	2331
141	383	2318
142	385	2311
143	388	2310
144	390	2300
145	391	2289
146	392	2279
147	394	2270
148	395	2260
149	397	2251
150	398	2241
151	400	2234
152	402	2229
153	404	2220
154	405	2212
155	407	2203
156	408	2194
157	410	2186
158	411	2177
159	413	2168
160	414	2159
161	416	2153
162	418	2149
163	419	2140
164	421	2132
165	423	2126
166	425	2120
167	426	2112
168	427	2103
169	429	2098
170	432	2096
171	434	2090
172	435	2083
173	436	2074
174	438	2067
175	440	2060
176	441	2053
177	443	2046
178	444	2040
179	447	2038
180	448	2030
181	450	2024
182	451	2016
183	453	2009
184	454	2003
185	456	1996
186	457	1988
187	459	1982
188	460	1977
189	463	1975
190	464	1968
191	466	1962
192	467	1956
193	469	1951
194	470	1943
195	472	1937
196	474	1932
197	478	1937
198	479	1930
199	480	1923
200	482	1919
201	485	1916
202	486	1910
203	488	1905
204	491	1907
205	493	1903
206	495	1898
207	496	1891
208	498	1885
209	500	1881
210	501	1876
211	503	1872
212	506	1871
213	508	1868
214	510	1863
215	512	1859
216	513	1854
217	515	1849
218	517	1844
219	519	1840
220	521	1839
221	523	1836
222	525	1830
223	526	1825
224	528	1819
225	529	1814
226	531	1809
227	533	1806
228	535	1804
229	537	1799
230	539	1794
231	541	1791
232	542	1786
233	544	1781
234	545	1777
235	547	1773
236	550	1773
237	552	1768
238	553	1763
239	555	1758
240	557	1754
241	558	1750
242	561	1748
243	563	1746
244	565	1741
245	566	1737
246	568	1733
247	570	1728
248	571	1723
249	572	1717
250	573	1712
251	575	1707
252	576	1703
253	578	1699
254	580	1697
255	582	1692
256	583	1687
257	585	1682
258	586	1678
259	588	1673
260	589	1668
261	590	1663
262	592	1660
263	594	1658
264	596	1653
265	597	1649
266	599	1644
267	600	1640
268	601	1635
269	603	1630
270	604	1626
271	605	1621
272	607	1618
273	609	1615
274	611	1612
275	613	1608
276	614	1604
277	615	1599
278	617	1594
279	618	1590
280	619	1586
281	622	1584
282	624	1582
283	625	1577
284	627	1573
285	628	1569
286	630	1566
287	632	1562
288	633	1558
289	634	1554
290	637	1552
291	639	1550
292	641	1546
293	642	1543
294	644	1539
295	645	1535
296	647	1531
297	648	1527
298	649	1523
299	651	1519
300	653	1517
301	655	1514
302	656	1510
303	658	1506
304	659	1502
305	660	1498
306	662	1494
307	663	1490
308	664	1486
309	666	1482
310	668	1481
311	670	1477
312	671	1473
313	672	1469
314	673	1465
315	675	1461
316	676	1458
317	677	1453
318	679	1450
319	681	1447
320	683	1445
321	684	1441
322	685	1437
323	686	1433
324	688	1429
325	689	1425
326	690	1422
327	692	1418
328	693	1414
329	694	1410
330	696	1408
331	698	1404
332	699	1400
333	700	1397
334	701	1393
335	703	1389
336	704	1385
337	705	1382
338	706	1378
339	708	1374
340	709	1371
341	711	1368
342	712	1364
343	713	1360
344	714	1357
345	716	1354
346	717	1350
347	719	1347
348	720	1344
349	722	1341
350	723	1337
351	725	1334
352	726	1331
353	728	1328
354	729	1325
355	731	1322
356	732	1319
357	734	1316
358	735	1312
359	736	1309
360	737	1306
361	739	1303
362	741	1300
363	742	1297
364	743	1293
365	744	1290
366	746	1286
367	747	1283
368	748	1279
369	749	1276
370	751	1273
371	752	1270
372	753	1267
373	755	1265
374	757	1262
375	758	1259
376	759	1255
377	761	1252
378	762	1249
379	763	1246
380	765	1243
381	766	1240
382	767	1236
383	769	1234
384	771	1231
385	772	1229
386	774	1226
387	775	1223
388	777	1220
389	778	1218
390	780	1215
391	781	1212
392	783	1209
393	784	1207
394	787	1205
395	788	1202
396	790	1200
397	791	1197
398	793	1195
399	794	1192
400	796	1189
401	797	1186
402	800	1185
403	802	1184
404	804	1181
405	805	1178
406	806	1175
407	808	1173
408	810	1170
409	811	1167
410	812	1164
411	814	1162
412	817	1161
413	819	1159
414	820	1156
415	822	1154
416	823	1151
417	825	1148
418	826	1146
419	827	1143
420	830	1141
421	832	1140
422	834	1137
423	835	1135
424	837	1132
425	838	1130
426	840	1127
427	841	1124
428	842	1121
429	844	1119
430	847	1118
431	848	1116
432	850	1113
433	851	1110
434	853	1108
435	855	1106
436	856	1103
437	858	1100
438	859	1098
439	862	1097
440	863	1095
441	865	1092
442	866	1089
443	868	1087
444	869	1084
445	870	1081
446	872	1078
447	873	1076
448	876	1075
449	877	1072
450	878	1069
451	880	1067
452	882	1065
453	883	1062
454	884	1059
455	886	1057
456	887	1055
457	890	1053
458	892	1051
459	893	1049
460	895	1046
461	896	1044
462	898	1042
463	900	1039
464	901	1036
465	903	1034
466	904	1032
467	907	1031
468	908	1028
469	910	1026
470	911	1023
471	913	1021
472	915	1019
473	916	1017
474	918	1014
475	920	1013
476	922	1011
477	923	1008
478	924	1006
479	926	1004
480	928	1001
481	929	998
482	930	996
483	932	994
484	934	992
485	936	990
486	938	988
487	939	985
488	941	983
489	942	981
490	944	978
491	945	976
492	947	974
493	949	973
494	952	971
495	953	968
496	954	966
497	956	964
498	957	961
499	959	959
500	960	956
501	962	954
502	964	953
503	966	950
504	967	948
505	968	945
506	970	943
507	972	941
508	973	939
509	974	936
510	976	934
511	979	933
512	981	931
513	982	928
514	983	926
515	985	924
516	987	922
517	988	920
518	990	917
519	992	915
520	994	914
521	996	912
522	998	910
523	999	907
524	1000	905
525	1003	903
526	1004	901
527	1007	900
528	1010	900
529	1013	898
530	1014	896
531	1016	894
532	1018	892
533	1022	892
534	1025	891
535	1027	889
536	1029	887
537	1033	887
538	1035	885
539	1038	884
540	1040	882
541	1042	880
542	1043	878
543	1062	890
544	1064	888
545	1072	892
546	1075	890
547	1081	891
548	1085	891
549	1121	917
550	1123	915
551	1125	913
552	1127	911
553	1129	909
554	1131	907
555	1134	906
556	1139	906
557	1141	903
558	1143	902
559	1146	900
560	1148	898
561	1158	903
562	1161	901
563	1165	901
564	1167	898
565	1169	896
566	1170	894
567	1173	892
568	1175	890
569	1177	888
570	1181	887
571	1184	886
572	1186	884
573	1188	882
574	1190	879
575	1195	879
576	1198	878
577	1202	878
578	1206	877
579	1209	875
580	1211	873
581	1213	871
582	1216	869
583	1217	867
584	1219	865
585	1221	863
586	1224	861
587	1226	859
588	1228	856
589	1229	854
590	1231	851
591	1232	849
592	1234	847
593	1237	845
594	1239	843
595	1240	841
596	1242	838
597	1243	836
598	1245	833
599	1247	831
600	1248	828
601	1250	826
602	1252	824
603	1255	822
604	1256	820
605	1258	818
606	1259	815
607	1261	813
608	1263	810
609	1264	808
610	1266	806
611	1269	804
612	1271	802
613	1273	800
614	1274	798
615	1276	795
616	1278	793
617	1279	790
618	1281	788
619	1284	787
620	1285	784
621	1287	782
622	1288	779
623	1290	777
624	1291	774
625	1292	772
626	1294	769
627	1295	767
628	1297	765
629	1299	763
630	1300	760
631	1301	758
632	1303	755
633	1304	753
634	1305	750
635	1306	747
636	1307	745
637	1309	742
638	1310	740
639	1313	738
640	1314	736
641	1315	733
642	1317	731
643	1318	728
644	1320	726
645	1321	723
646	1322	721
647	1323	718
648	1324	716
649	1326	714
650	1328	712
651	1330	710
652	1331	707
